title,author,price,publisher,isbn,contributor,date,rank,rank_last_week,weeks_on_list
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-26,5,7,42
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-26,6,5,6
THE SACRED BRIDGE,Anne Hillerman,0.00,Harper,0062908383,by Anne Hillerman,2022-04-26,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-26,8,10,14
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-26,9,6,14
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-26,10,3,2
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-26,11,11,3
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-26,12,9,18
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-26,13,14,7
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-26,14,12,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-26,15,0,20
THE INVESTIGATOR,John Sandford,0.00,Putnam,0593328698,by John Sandford,2022-04-25,1,0,1
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-25,2,1,44
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-25,3,2,156
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-25,4,4,19
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-25,5,7,42
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-25,6,5,6
THE SACRED BRIDGE,Anne Hillerman,0.00,Harper,0062908383,by Anne Hillerman,2022-04-25,7,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-25,8,10,14
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-25,9,6,14
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-25,10,3,2
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-25,11,11,3
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-25,12,9,18
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-25,13,14,7
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-25,14,12,8
THE LOVE HYPOTHESIS,Ali Hazelwood,0.00,Berkley,0593336828,by Ali Hazelwood,2022-04-25,15,0,20
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-24,1,4,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-24,2,1,155
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-24,3,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-24,4,5,18
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-24,5,2,5
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-24,6,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-24,7,7,41
LOVER ARISEN,J.R. Ward,0.00,Gallery,1982180013,by J.R. Ward,2022-04-24,8,0,1
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-24,9,8,17
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-24,10,10,13
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-24,11,6,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-24,12,13,7
THE CANDY HOUSE,Jennifer Egan,0.00,Scribner,1476716765,by Jennifer Egan,2022-04-24,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-24,14,15,6
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-24,15,11,5
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-23,1,4,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-23,2,1,155
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-23,3,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-23,4,5,18
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-23,5,2,5
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-23,6,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-23,7,7,41
LOVER ARISEN,J.R. Ward,0.00,Gallery,1982180013,by J.R. Ward,2022-04-23,8,0,1
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-23,9,8,17
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-23,10,10,13
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-23,11,6,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-23,12,13,7
THE CANDY HOUSE,Jennifer Egan,0.00,Scribner,1476716765,by Jennifer Egan,2022-04-23,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-23,14,15,6
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-23,15,11,5
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-22,1,4,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-22,2,1,155
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-22,3,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-22,4,5,18
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-22,5,2,5
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-22,6,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-22,7,7,41
LOVER ARISEN,J.R. Ward,0.00,Gallery,1982180013,by J.R. Ward,2022-04-22,8,0,1
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-22,9,8,17
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-22,10,10,13
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-22,11,6,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-22,12,13,7
THE CANDY HOUSE,Jennifer Egan,0.00,Scribner,1476716765,by Jennifer Egan,2022-04-22,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-22,14,15,6
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-22,15,11,5
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-21,1,4,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-21,2,1,155
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-21,3,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-21,4,5,18
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-21,5,2,5
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-21,6,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-21,7,7,41
LOVER ARISEN,J.R. Ward,0.00,Gallery,1982180013,by J.R. Ward,2022-04-21,8,0,1
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-21,9,8,17
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-21,10,10,13
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-21,11,6,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-21,12,13,7
THE CANDY HOUSE,Jennifer Egan,0.00,Scribner,1476716765,by Jennifer Egan,2022-04-21,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-21,14,15,6
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-21,15,11,5
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-20,1,4,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-20,2,1,155
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-20,3,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-20,4,5,18
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-20,5,2,5
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-20,6,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-20,7,7,41
LOVER ARISEN,J.R. Ward,0.00,Gallery,1982180013,by J.R. Ward,2022-04-20,8,0,1
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-20,9,8,17
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-20,10,10,13
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-20,11,6,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-20,12,13,7
THE CANDY HOUSE,Jennifer Egan,0.00,Scribner,1476716765,by Jennifer Egan,2022-04-20,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-20,14,15,6
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-20,15,11,5
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-19,1,4,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-19,2,1,155
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-19,3,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-19,4,5,18
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-19,5,2,5
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-19,6,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-19,7,7,41
LOVER ARISEN,J.R. Ward,0.00,Gallery,1982180013,by J.R. Ward,2022-04-19,8,0,1
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-19,9,8,17
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-19,10,10,13
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-19,11,6,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-19,12,13,7
THE CANDY HOUSE,Jennifer Egan,0.00,Scribner,1476716765,by Jennifer Egan,2022-04-19,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-19,14,15,6
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-19,15,11,5
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-18,1,4,43
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-18,2,1,155
SEA OF TRANQUILITY,Emily St. John Mandel,0.00,Knopf,0593321448,by Emily St. John Mandel,2022-04-18,3,0,1
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-18,4,5,18
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-18,5,2,5
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-18,6,3,13
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-18,7,7,41
LOVER ARISEN,J.R. Ward,0.00,Gallery,1982180013,by J.R. Ward,2022-04-18,8,0,1
THE DUKE AND I,Julia Quinn,0.00,Avon,0063078902,by Julia Quinn,2022-04-18,9,8,17
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-18,10,10,13
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539670,by Lisa Scottoline,2022-04-18,11,6,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-18,12,13,7
THE CANDY HOUSE,Jennifer Egan,0.00,Scribner,1476716765,by Jennifer Egan,2022-04-18,13,0,1
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-18,14,15,6
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-18,15,11,5
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-17,1,1,154
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-17,2,2,4
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-17,3,0,12
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-17,4,4,42
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-17,5,5,17
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539689,by Lisa Scottoline,2022-04-17,6,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-17,7,7,40
THE DUKE AND I,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-17,8,0,16
THE DIAMOND EYE,Kate Quinn,0.00,Morrow,0062943510,by Kate Quinn,2022-04-17,9,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-17,10,12,12
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-17,11,0,4
THE RECOVERY AGENT,Janet Evanovich,0.00,Atria,1982154918,by Janet Evanovich,2022-04-17,12,3,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-17,13,11,6
ROMANCING MISTER BRIDGERTON,Julia Quinn,0.00,Avon,0062424106,by Julia Quinn,2022-04-17,14,0,7
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-17,15,13,5
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-16,1,1,154
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-16,2,2,4
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-16,3,0,12
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-16,4,4,42
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-16,5,5,17
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539689,by Lisa Scottoline,2022-04-16,6,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-16,7,7,40
THE DUKE AND I,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-16,8,0,16
THE DIAMOND EYE,Kate Quinn,0.00,Morrow,0062943510,by Kate Quinn,2022-04-16,9,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-16,10,12,12
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-16,11,0,4
THE RECOVERY AGENT,Janet Evanovich,0.00,Atria,1982154918,by Janet Evanovich,2022-04-16,12,3,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-16,13,11,6
ROMANCING MISTER BRIDGERTON,Julia Quinn,0.00,Avon,0062424106,by Julia Quinn,2022-04-16,14,0,7
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-16,15,13,5
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-15,1,1,154
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-15,2,2,4
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-15,3,0,12
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-15,4,4,42
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-15,5,5,17
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539689,by Lisa Scottoline,2022-04-15,6,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-15,7,7,40
THE DUKE AND I,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-15,8,0,16
THE DIAMOND EYE,Kate Quinn,0.00,Morrow,0062943510,by Kate Quinn,2022-04-15,9,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-15,10,12,12
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-15,11,0,4
THE RECOVERY AGENT,Janet Evanovich,0.00,Atria,1982154918,by Janet Evanovich,2022-04-15,12,3,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-15,13,11,6
ROMANCING MISTER BRIDGERTON,Julia Quinn,0.00,Avon,0062424106,by Julia Quinn,2022-04-15,14,0,7
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-15,15,13,5
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-14,1,1,154
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-14,2,2,4
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-14,3,0,12
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-14,4,4,42
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-14,5,5,17
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539689,by Lisa Scottoline,2022-04-14,6,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-14,7,7,40
THE DUKE AND I,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-14,8,0,16
THE DIAMOND EYE,Kate Quinn,0.00,Morrow,0062943510,by Kate Quinn,2022-04-14,9,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-14,10,12,12
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-14,11,0,4
THE RECOVERY AGENT,Janet Evanovich,0.00,Atria,1982154918,by Janet Evanovich,2022-04-14,12,3,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-14,13,11,6
ROMANCING MISTER BRIDGERTON,Julia Quinn,0.00,Avon,0062424106,by Julia Quinn,2022-04-14,14,0,7
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-14,15,13,5
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-13,1,1,154
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-13,2,2,4
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-13,3,0,12
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-13,4,4,42
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-13,5,5,17
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539689,by Lisa Scottoline,2022-04-13,6,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-13,7,7,40
THE DUKE AND I,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-13,8,0,16
THE DIAMOND EYE,Kate Quinn,0.00,Morrow,0062943510,by Kate Quinn,2022-04-13,9,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-13,10,12,12
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-13,11,0,4
THE RECOVERY AGENT,Janet Evanovich,0.00,Atria,1982154918,by Janet Evanovich,2022-04-13,12,3,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-13,13,11,6
ROMANCING MISTER BRIDGERTON,Julia Quinn,0.00,Avon,0062424106,by Julia Quinn,2022-04-13,14,0,7
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-13,15,13,5
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-12,1,1,154
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-12,2,2,4
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-12,3,0,12
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-12,4,4,42
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-12,5,5,17
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539689,by Lisa Scottoline,2022-04-12,6,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-12,7,7,40
THE DUKE AND I,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-12,8,0,16
THE DIAMOND EYE,Kate Quinn,0.00,Morrow,0062943510,by Kate Quinn,2022-04-12,9,0,1
UGLY LOVE,Colleen Hoover,0.00,Atria,1476753180,by Colleen Hoover,2022-04-12,10,12,12
AN OFFER FROM A GENTLEMAN,Julia Quinn,0.00,Avon,0062424084,by Julia Quinn,2022-04-12,11,0,4
THE RECOVERY AGENT,Janet Evanovich,0.00,Atria,1982154918,by Janet Evanovich,2022-04-12,12,3,2
THE PARIS APARTMENT,Lucy Foley,0.00,Morrow,0063003058,by Lucy Foley,2022-04-12,13,11,6
ROMANCING MISTER BRIDGERTON,Julia Quinn,0.00,Avon,0062424106,by Julia Quinn,2022-04-12,14,0,7
NOVEMBER 9,Colleen Hoover,0.00,Atria,1501110349,by Colleen Hoover,2022-04-12,15,13,5
WHERE THE CRAWDADS SING,Delia Owens,0.00,Putnam,0735219109,by Delia Owens,2022-04-11,1,1,154
"RUN, ROSE, RUN",Dolly Parton and James Patterson,0.00,"Little, Brown",075955434X,by Dolly Parton and James Patterson,2022-04-11,2,2,4
THE VISCOUNT WHO LOVED ME,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-11,3,0,12
IT ENDS WITH US,Colleen Hoover,0.00,Atria,1501110365,by Colleen Hoover,2022-04-11,4,4,42
VERITY,Colleen Hoover,0.00,Grand Central,1538724731,by Colleen Hoover,2022-04-11,5,5,17
WHAT HAPPENED TO THE BENNETTS,Lisa Scottoline,0.00,Putnam,0525539689,by Lisa Scottoline,2022-04-11,6,0,1
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,0.00,Washington Square/Atria,1501161938,by Taylor Jenkins Reid,2022-04-11,7,7,40
THE DUKE AND I,Julia Quinn,0.00,Avon,None,by Julia Quinn,2022-04-11,8,0,16
THE DIAMOND EYE,Kate Quinn,0.00,Morrow,0062943510,by Kate Quinn,2022-04-11,9,0,1
